key,value,date
GOOG,942.90,06/12/17
GOOG,953.40,06/13/17
GOOG,950.76,06/14/17
GOOG,942.31,06/15/17
GOOG,939.78,06/16/17
GOOG,957.37,06/19/17
GOOG,950.63,06/20/17
GOOG,959.45,06/21/17
GOOG,957.09,06/22/17
GOOG,965.59,06/23/17
GOOG,952.27,06/26/17
GOOG,927.33,06/27/17
GOOG,940.49,06/28/17
GOOG,917.79,06/29/17
GOOG,908.73,06/30/17
GOOG,898.70,07/03/17
GOOG,911.71,07/05/17
GOOG,906.69,07/06/17
GOOG,918.59,07/07/17
GOOG,928.80,07/10/17
GOOG,930.09,07/11/17
GOOG,943.83,07/12/17
GOOG,947.16,07/13/17
GOOG,955.99,07/14/17
GOOG,953.42,07/17/17
GOOG,965.40,07/18/17
GOOG,970.89,07/19/17
GOOG,968.15,07/20/17
GOOG,972.92,07/21/17
GOOG,980.34,07/24/17
GOOG,950.70,07/25/17
GOOG,947.80,07/26/17
GOOG,934.09,07/27/17
GOOG,941.53,07/28/17
GOOG,930.50,07/31/17
GOOG,930.83,08/01/17
GOOG,930.39,08/02/17
GOOG,923.65,08/03/17
GOOG,927.96,08/04/17
GOOG,929.36,08/07/17
GOOG,926.79,08/08/17
GOOG,922.90,08/09/17
GOOG,907.24,08/10/17
GOOG,914.39,08/11/17
GOOG,922.67,08/14/17
GOOG,922.22,08/15/17
GOOG,926.96,08/16/17
GOOG,910.98,08/17/17
GOOG,910.67,08/18/17
GOOG,906.66,08/21/17
GOOG,924.69,08/22/17
GOOG,927.00,08/23/17
GOOG,921.28,08/24/17
GOOG,915.89,08/25/17
GOOG,913.81,08/28/17
GOOG,921.29,08/29/17
GOOG,929.57,08/30/17
GOOG,939.33,08/31/17
GOOG,937.34,09/01/17
GOOG,928.45,09/05/17
GOOG,927.81,09/06/17
GOOG,935.95,09/07/17
GOOG,926.50,09/08/17
GOOG,929.08,09/11/17
GOOG,932.07,09/12/17
GOOG,935.09,09/13/17
FB,127.77,09/14/16
FB,128.35,09/15/16
FB,129.07,09/16/16
FB,128.65,09/19/16
FB,128.64,09/20/16
FB,129.94,09/21/16
FB,130.08,09/22/16
FB,127.96,09/23/16
FB,127.31,09/26/16
FB,128.69,09/27/16
FB,129.23,09/28/16
FB,128.09,09/29/16
FB,128.27,09/30/16
FB,128.77,10/03/16
FB,128.19,10/04/16
FB,128.47,10/05/16
FB,128.74,10/06/16
FB,128.99,10/07/16
FB,130.24,10/10/16
FB,128.88,10/11/16
FB,129.05,10/12/16
FB,127.82,10/13/16
FB,127.88,10/14/16
FB,127.54,10/17/16
FB,128.57,10/18/16
FB,130.11,10/19/16
FB,130.00,10/20/16
FB,132.07,10/21/16
FB,133.28,10/24/16
FB,132.29,10/25/16
FB,131.04,10/26/16
FB,129.69,10/27/16
FB,131.29,10/28/16
FB,130.99,10/31/16
FB,129.50,11/01/16
FB,127.17,11/02/16
FB,120.00,11/03/16
FB,120.75,11/04/16
FB,122.15,11/07/16
FB,124.22,11/08/16
FB,123.18,11/09/16
FB,120.80,11/10/16
FB,119.02,11/11/16
FB,115.08,11/14/16
FB,117.20,11/15/16
FB,116.34,11/16/16
FB,117.79,11/17/16
FB,117.02,11/18/16
FB,121.77,11/21/16
FB,121.47,11/22/16
FB,120.84,11/23/16
FB,120.38,11/25/16
FB,120.41,11/28/16
FB,120.87,11/29/16
FB,118.42,11/30/16
FB,115.10,12/01/16
FB,115.40,12/02/16
FB,117.43,12/05/16
FB,117.31,12/06/16
FB,117.95,12/07/16
FB,118.91,12/08/16
FB,119.68,12/09/16
FB,117.77,12/12/16
FB,120.31,12/13/16
FB,120.21,12/14/16
FB,120.57,12/15/16
FB,119.87,12/16/16
FB,119.24,12/19/16
FB,119.09,12/20/16
FB,119.04,12/21/16
FB,117.40,12/22/16
FB,117.27,12/23/16
FB,118.01,12/27/16
FB,116.92,12/28/16
FB,116.35,12/29/16
FB,115.05,12/30/16
FB,116.86,01/03/17
FB,118.69,01/04/17
FB,120.67,01/05/17
FB,123.41,01/06/17
FB,124.90,01/09/17
FB,124.35,01/10/17
FB,126.09,01/11/17
FB,126.62,01/12/17
FB,128.34,01/13/17
FB,127.87,01/17/17
FB,127.92,01/18/17
FB,127.55,01/19/17
FB,127.04,01/20/17
FB,128.93,01/23/17
FB,129.37,01/24/17
FB,131.48,01/25/17
FB,132.78,01/26/17
FB,132.18,01/27/17
FB,130.98,01/30/17
FB,130.32,01/31/17
FB,133.23,02/01/17
FB,130.84,02/02/17
FB,130.98,02/03/17
FB,132.06,02/06/17
FB,131.84,02/07/17
FB,134.20,02/08/17
FB,134.14,02/09/17
FB,134.19,02/10/17
FB,134.05,02/13/17
FB,133.85,02/14/17
FB,133.44,02/15/17
FB,133.84,02/16/17
FB,133.53,02/17/17
FB,133.72,02/21/17
FB,136.12,02/22/17
FB,135.36,02/23/17
FB,135.44,02/24/17
FB,136.41,02/27/17
FB,135.54,02/28/17
FB,137.42,03/01/17
FB,136.76,03/02/17
FB,137.17,03/03/17
FB,137.42,03/06/17
FB,137.30,03/07/17
FB,137.72,03/08/17
FB,138.24,03/09/17
FB,138.79,03/10/17
FB,139.60,03/13/17
FB,139.32,03/14/17
FB,139.72,03/15/17
FB,139.99,03/16/17
FB,139.84,03/17/17
FB,139.94,03/20/17
FB,138.51,03/21/17
FB,139.59,03/22/17
FB,139.53,03/23/17
FB,140.34,03/24/17
FB,140.32,03/27/17
FB,141.76,03/28/17
FB,142.65,03/29/17
FB,142.41,03/30/17
FB,142.05,03/31/17
FB,142.28,04/03/17
FB,141.73,04/04/17
FB,141.85,04/05/17
FB,141.17,04/06/17
FB,140.78,04/07/17
FB,141.04,04/10/17
FB,139.92,04/11/17
FB,139.58,04/12/17
FB,139.39,04/13/17
FB,141.42,04/17/17
FB,140.96,04/18/17
FB,142.27,04/19/17
FB,143.80,04/20/17
FB,143.68,04/21/17
FB,145.47,04/24/17
FB,146.49,04/25/17
FB,146.56,04/26/17
FB,147.70,04/27/17
FB,150.25,04/28/17
FB,152.46,05/01/17
FB,152.78,05/02/17
FB,151.80,05/03/17
FB,150.85,05/04/17
FB,150.24,05/05/17
FB,151.06,05/08/17
FB,150.48,05/09/17
FB,150.29,05/10/17
FB,150.04,05/11/17
FB,150.33,05/12/17
FB,150.19,05/15/17
FB,149.78,05/16/17
FB,144.85,05/17/17
FB,147.66,05/18/17
FB,148.06,05/19/17
FB,148.24,05/22/17
FB,148.07,05/23/17
FB,150.04,05/24/17
FB,151.96,05/25/17
FB,152.13,05/26/17
FB,152.38,05/30/17
FB,151.46,05/31/17
FB,151.53,06/01/17
FB,153.61,06/02/17
FB,153.63,06/05/17
FB,152.81,06/06/17
FB,153.12,06/07/17
FB,154.71,06/08/17
FB,149.60,06/09/17
FB,148.44,06/12/17
FB,150.68,06/13/17
FB,150.25,06/14/17
FB,149.80,06/15/17
FB,150.64,06/16/17
FB,152.87,06/19/17
FB,152.25,06/20/17
FB,153.91,06/21/17
FB,153.40,06/22/17
FB,155.07,06/23/17
FB,153.59,06/26/17
FB,150.58,06/27/17
FB,153.24,06/28/17
FB,151.04,06/29/17
